tm,MVm,PVm
1.840000000000000000e+02,1.000000000000000000e+00,2.094749999999999390e-01
1.850000000000000000e+02,1.000000000000000000e+00,2.094749999999999390e-01
1.860000000000000000e+02,1.000000000000000000e+00,2.102999999999999869e-01
1.870000000000000000e+02,1.000000000000000000e+00,2.102999999999999869e-01
1.880000000000000000e+02,1.000000000000000000e+00,2.094749999999999390e-01
1.890000000000000000e+02,1.000000000000000000e+00,2.094749999999999390e-01
1.900000000000000000e+02,1.000000000000000000e+00,2.127000000000000557e-01
1.910000000000000000e+02,1.000000000000000000e+00,2.159250000000000058e-01
1.920000000000000000e+02,1.000000000000000000e+00,2.151249999999999274e-01
1.930000000000000000e+02,1.000000000000000000e+00,2.151249999999999274e-01
1.940000000000000000e+02,1.000000000000000000e+00,2.175499999999999656e-01
1.950000000000000000e+02,1.000000000000000000e+00,2.175499999999999656e-01
1.960000000000000000e+02,1.000000000000000000e+00,2.175499999999999656e-01
1.970000000000000000e+02,1.000000000000000000e+00,2.175499999999999656e-01
1.980000000000000000e+02,1.000000000000000000e+00,2.175499999999999656e-01
1.990000000000000000e+02,1.000000000000000000e+00,2.207749999999998880e-01
2.000000000000000000e+02,1.000000000000000000e+00,2.256000000000000227e-01
2.010000000000000000e+02,1.000000000000000000e+00,2.256000000000000227e-01
2.020000000000000000e+02,1.000000000000000000e+00,2.256000000000000227e-01
2.030000000000000000e+02,1.000000000000000000e+00,2.256000000000000227e-01
2.040000000000000000e+02,1.000000000000000000e+00,2.256000000000000227e-01
2.050000000000000000e+02,1.000000000000000000e+00,2.256000000000000227e-01
2.060000000000000000e+02,1.000000000000000000e+00,2.256000000000000227e-01
2.070000000000000000e+02,1.000000000000000000e+00,2.263999999999999346e-01
2.080000000000000000e+02,1.000000000000000000e+00,2.312500000000000111e-01
2.090000000000000000e+02,1.000000000000000000e+00,2.336499999999999133e-01
2.100000000000000000e+02,1.000000000000000000e+00,2.336499999999999133e-01
2.110000000000000000e+02,1.000000000000000000e+00,2.336499999999999133e-01
